test_type,N,baseline_days,true_P,fit_P,LS_power,true_K,fit_K,true_e,fit_e,Status
Observational,100,200,21.1668,21.0778,31.75,45.00,44.88,0.650,0.650,Success
Observational,100,200,21.1668,21.2158,29.88,45.00,44.93,0.650,0.648,Success
Observational,100,200,21.1668,21.0882,30.03,45.00,45.01,0.650,0.649,Success
Observational,100,200,21.1668,21.3996,30.77,45.00,45.18,0.650,0.650,Success
Observational,100,200,21.1668,21.1634,30.55,45.00,44.90,0.650,0.648,Success
Observational,100,200,21.1668,21.0339,33.56,45.00,45.15,0.650,0.651,Success
Observational,100,200,21.1668,21.1206,29.12,45.00,45.08,0.650,0.651,Success
Observational,100,200,21.1668,21.1815,34.27,45.00,45.15,0.650,0.651,Success
Observational,100,200,21.1668,21.1881,32.73,45.00,45.28,0.650,0.650,Success
Observational,100,200,21.1668,21.0332,32.15,45.00,45.07,0.650,0.651,Success
Observational,100,200,21.1668,21.2159,33.62,45.00,44.87,0.650,0.650,Success
Observational,100,200,21.1668,21.2077,29.68,45.00,45.05,0.650,0.650,Success
Observational,100,200,21.1668,21.0690,33.55,45.00,44.94,0.650,0.649,Success
Observational,100,200,21.1668,21.1824,32.36,45.00,45.10,0.650,0.651,Success
Observational,100,200,21.1668,21.2499,32.01,45.00,45.00,0.650,0.651,Success
Observational,100,200,21.1668,20.9639,33.57,45.00,44.92,0.650,0.649,Success
Observational,100,200,21.1668,21.1885,33.28,45.00,44.93,0.650,0.650,Success
Observational,100,200,21.1668,21.2660,32.05,45.00,45.36,0.650,0.654,Success
Observational,100,200,21.1668,21.2596,33.14,45.00,44.83,0.650,0.649,Success
Observational,100,200,21.1668,21.1333,30.86,45.00,45.06,0.650,0.651,Success
Observational,100,200,21.1668,21.0869,30.58,45.00,45.02,0.650,0.651,Success
Observational,100,200,21.1668,21.3177,33.62,45.00,44.97,0.650,0.649,Success
Observational,100,200,21.1668,21.0285,32.40,45.00,45.41,0.650,0.654,Success
Observational,100,200,21.1668,21.0250,29.43,45.00,45.12,0.650,0.650,Success
Observational,100,200,21.1668,21.3869,32.72,45.00,45.03,0.650,0.650,Success
